# 更新时间: 2026-02-18 21:45:51.537449
# 可用代理: 357 个
# 格式: IP:端口 延迟(ms)

191.252.204.220:8080 2001ms
197.221.249.195:80 2016ms
188.130.160.209:80 2018ms
163.5.128.41:14270 2047ms
165.16.58.124:8080 2113ms
47.251.74.38:8080 2136ms
47.251.87.74:4002 2147ms
47.251.87.199:8081 2149ms
47.251.87.199:2000 2150ms
47.251.87.74:10001 2151ms
47.251.87.199:20125 2157ms
203.115.101.58:82 2163ms
8.211.194.78:1080 2164ms
59.46.216.131:30001 2165ms
177.229.218.54:999 2173ms
150.107.140.238:3128 2174ms
41.220.22.7:80 2175ms
162.240.19.30:80 2192ms
8.211.42.167:8083 2194ms
47.91.89.3:4153 2200ms
50.203.147.154:80 2214ms
217.76.245.80:999 2264ms
37.187.109.70:10111 2289ms
82.165.202.246:80 2305ms
47.74.46.81:5060 2339ms
8.213.128.6:10 2371ms
8.220.204.92:3129 2372ms
177.234.217.238:999 2373ms
47.91.120.190:1080 2374ms
8.213.156.191:194 2382ms
8.220.204.215:8123 2386ms
8.220.204.92:100 2394ms
165.225.113.220:10958 2400ms
113.108.13.120:8083 2409ms
165.225.113.220:11462 2410ms
165.225.113.220:11233 2417ms
165.225.113.220:10679 2418ms
47.238.130.212:20000 2427ms
202.152.44.18:8081 2453ms
43.161.216.180:60007 2457ms
47.250.51.110:8081 2459ms
47.250.155.254:8081 2461ms
47.237.92.86:8081 2463ms
47.250.177.202:139 2474ms
8.221.138.111:9080 2474ms
149.129.255.179:3128 2478ms
47.250.51.110:8888 2479ms
8.215.3.250:264 2487ms
149.129.255.179:8080 2487ms
8.215.3.250:5060 2489ms
8.215.12.103:8085 2489ms
8.215.15.163:8022 2490ms
36.138.53.26:10019 2491ms
8.212.165.164:9080 2494ms
149.129.255.179:9050 2495ms
149.129.226.9:9080 2496ms
47.116.210.163:8008 2496ms
121.43.109.88:8080 2497ms
8.212.165.164:8080 2498ms
8.215.15.163:51 2499ms
8.212.151.166:8018 2501ms
106.14.91.83:8443 2501ms
8.215.12.103:8007 2504ms
8.212.165.164:51235 2504ms
121.43.154.123:8080 2505ms
121.43.146.222:9098 2505ms
39.102.208.149:5060 2517ms
39.102.211.64:8008 2521ms
39.102.210.222:8081 2523ms
101.200.158.109:3128 2525ms
121.43.109.88:8047 2528ms
47.92.152.43:8089 2529ms
124.108.6.20:8085 2529ms
39.102.208.189:8443 2529ms
39.102.213.213:9080 2530ms
39.102.213.187:1081 2530ms
45.151.182.9:3128 2536ms
8.213.195.191:3333 2538ms
39.102.211.64:8081 2539ms
47.92.219.102:8080 2540ms
39.104.57.33:8080 2543ms
39.104.27.89:9080 2544ms
39.104.27.89:8081 2545ms
47.121.182.36:8080 2550ms
114.215.127.92:8080 2553ms
8.130.54.67:80 2553ms
47.119.22.92:10000 2555ms
47.119.22.156:34567 2556ms
47.109.83.196:3128 2557ms
8.137.13.191:9080 2559ms
120.25.189.254:8800 2559ms
47.121.183.107:6379 2561ms
8.137.38.48:7890 2563ms
8.137.38.48:8080 2564ms
120.92.212.16:8890 2564ms
47.109.83.196:8080 2566ms
114.215.127.92:9100 2575ms
181.78.195.137:999 2603ms
8.213.222.247:8080 2609ms
38.191.211.253:999 2611ms
47.91.104.88:3128 2612ms
8.213.197.208:8001 2616ms
117.54.114.33:80 2618ms
203.115.101.61:82 2688ms
219.249.37.107:8382 2703ms
154.65.39.7:80 2709ms
103.199.215.43:6262 2728ms
49.4.117.146:3128 2760ms
138.59.10.112:999 2776ms
205.164.192.115:999 2790ms
182.253.93.3:53281 2940ms
104.230.113.255:80 3013ms
41.220.16.213:80 3028ms
31.56.78.170:8181 3064ms
212.200.39.210:8080 3080ms
177.234.194.31:999 3119ms
101.255.32.42:8080 3136ms
205.209.118.30:3138 3143ms
202.152.44.19:8081 3153ms
103.30.211.34:80 3232ms
103.210.22.17:3128 3246ms
167.99.124.118:80 3253ms
209.14.98.6:8080 3300ms
101.47.73.135:3128 3300ms
77.110.125.30:65531 3345ms
123.30.154.171:7777 3503ms
154.65.39.8:80 3541ms
190.99.192.158:999 3584ms
202.47.185.178:8085 3595ms
8.215.12.103:8002 3631ms
193.32.178.160:57329 3730ms
161.248.117.117:8080 3824ms
177.234.217.236:999 3876ms
119.93.87.65:8080 3984ms
185.187.92.42:80 4024ms
123.200.7.110:8080 4077ms
34.81.160.132:80 4389ms
45.70.236.194:999 4438ms
103.253.43.144:80 4584ms
177.234.194.30:999 5016ms
197.164.101.10:1976 5360ms
